Name,CPU,vCPUs,NUMA Nodes,Memory,Avg Score,StdDev,StdDev%,#Runs
Standard_B1s,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,1,19725,1258,6.38%,112
Standard_B1s,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,1,18287,2316,12.66%,70
Standard_B1s,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,1,21992,371,1.69%,21
Standard_B1ls,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,0.5,19162,605,3.16%,28
Standard_B1ls,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,0.5,19365,810,4.18%,126
Standard_B1ls,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,0.5,18780,2840,15.12%,63
Standard_B1ls,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,0.5,21954,461,2.10%,21
Standard_B1ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,2,18167,82,0.45%,14
Standard_B1ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,2,20113,1188,5.90%,126
Standard_B1ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,2,18882,2434,12.89%,77
Standard_B1ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,2,22182,57,0.26%,21
Standard_B2s,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,4,36074,431,1.20%,21
Standard_B2s,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,4,37634,1445,3.84%,119
Standard_B2s,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,4,37824,5913,15.63%,70
Standard_B2s,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,4,44147,397,0.90%,28
Standard_B2ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,8,36338,333,0.92%,28
Standard_B2ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,8,38026,1749,4.60%,119
Standard_B2ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,8,38060,5978,15.71%,70
Standard_B2ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,44227,349,0.79%,21
Standard_B4ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,4,1,16,70362,3310,4.70%,28
Standard_B4ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,4,1,16,74405,2647,3.56%,112
Standard_B4ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,4,1,16,71174,8008,11.25%,77
Standard_B4ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,85894,1445,1.68%,21
Standard_B8ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,8,1,32,144753,3091,2.14%,35
Standard_B8ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,8,1,32,145027,1460,1.01%,98
Standard_B8ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,1,32,138848,11991,8.64%,84
Standard_B8ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,170427,2402,1.41%,14
Standard_B12ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,12,1,48,214731,4672,2.18%,28
Standard_B12ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,12,1,48,219383,2213,1.01%,112
Standard_B12ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,12,1,48,202912,17172,8.46%,77
Standard_B12ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,12,1,48,256373,1768,0.69%,21
Standard_B16ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,16,2,64,276669,8921,3.22%,35
Standard_B16ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,16,1,64,294079,3437,1.17%,112
Standard_B16ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,16,1,64,270563,27650,10.22%,70
Standard_B16ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,340582,6378,1.87%,21
Standard_B20ms,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,20,2,80,347156,5967,1.72%,14
Standard_B20ms,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,20,1,80,363209,3837,1.06%,112
Standard_B20ms,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,20,1,80,342212,21775,6.36%,91
Standard_B20ms,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,20,1,80,416103,3337,0.80%,21
Standard_D2ads_v5,AMD EPYC 7763 64-Core Processor,2,1,7.8,38919,41,0.10%,35
Standard_D4ads_v5,AMD EPYC 7763 64-Core Processor,4,1,15.6,72644,172,0.24%,35
Standard_D8ads_v5,AMD EPYC 7763 64-Core Processor,8,1,31.4,153951,552,0.36%,35
Standard_D16ads_v5,AMD EPYC 7763 64-Core Processor,16,1,62.8,306800,941,0.31%,35
Standard_D32ads_v5,AMD EPYC 7763 64-Core Processor,32,1,125.8,600925,7721,1.28%,35
Standard_D48ads_v5,AMD EPYC 7763 64-Core Processor,48,1,188.7,893740,12161,1.36%,35
Standard_D64ads_v5,AMD EPYC 7763 64-Core Processor,64,1,251.7,1195169,16506,1.38%,35
Standard_D96ads_v5,AMD EPYC 7763 64-Core Processor,96,2,377.9,1831129,20839,1.14%,35
Standard_D2as_v5,AMD EPYC 7763 64-Core Processor,2,1,7.8,38869,118,0.30%,35
Standard_D4as_v5,AMD EPYC 7763 64-Core Processor,4,1,15.6,72928,460,0.63%,35
Standard_D8as_v5,AMD EPYC 7763 64-Core Processor,8,1,31.4,153842,462,0.30%,35
Standard_D16as_v5,AMD EPYC 7763 64-Core Processor,16,1,62.8,304560,3347,1.10%,35
Standard_D32as_v5,AMD EPYC 7763 64-Core Processor,32,1,125.8,599269,8844,1.48%,35
Standard_D48as_v5,AMD EPYC 7763 64-Core Processor,48,1,188.7,896034,12918,1.44%,35
Standard_D64as_v5,AMD EPYC 7763 64-Core Processor,64,1,251.7,1195829,16444,1.38%,35
Standard_D96as_v5,AMD EPYC 7763 64-Core Processor,96,2,377.9,1833797,20117,1.10%,35
Standard_D2ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,2,1,7.8,34926,11,0.03%,56
Standard_D4ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,4,1,15.6,68673,207,0.30%,56
Standard_D8ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,8,1,31.4,136764,489,0.36%,49
Standard_D16ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,16,1,62.8,273303,1122,0.41%,56
Standard_D32ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,32,1,125.8,545658,2409,0.44%,49
Standard_D48ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,48,1,188.7,813359,5923,0.73%,49
Standard_D64ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,64,2,251.9,1061667,10151,0.96%,35
Standard_D96ds_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,96,2,377.9,1577187,17287,1.10%,56
Standard_D2d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,2,1,7.8,34923,16,0.05%,70
Standard_D4d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,4,1,15.6,68696,234,0.34%,56
Standard_D8d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,8,1,31.4,136791,496,0.36%,42
Standard_D16d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,16,1,62.8,273463,1085,0.40%,49
Standard_D32d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,32,1,125.8,544718,2672,0.49%,49
Standard_D48d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,48,1,188.7,812195,7150,0.88%,56
Standard_D64d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,64,2,251.9,1061317,11637,1.10%,42
Standard_D96d_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,96,2,377.9,1579691,19962,1.26%,49
Standard_D2s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,2,1,7.8,32093,2789,8.69%,63
Standard_D4s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,4,1,15.6,67114,3816,5.69%,42
Standard_D8s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,8,1,31.4,129302,9365,7.24%,49
Standard_D16s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,16,1,62.8,250482,19982,7.98%,49
Standard_D32s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,32,1,125.8,500612,33756,6.74%,42
Standard_D48s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,48,1,188.7,725001,39805,5.49%,35
Standard_D64s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,64,2,251.9,965147,62581,6.48%,42
Standard_D96s_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,96,2,377.9,1422950,79151,5.56%,35
Standard_D2_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,2,1,7.8,29597,565,1.91%,49
Standard_D4_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,4,1,15.6,66338,3932,5.93%,56
Standard_D8_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,8,1,31.4,121070,8218,6.79%,245
Standard_D16_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,16,1,62.8,247579,18327,7.40%,42
Standard_D32_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,32,1,125.8,475867,11659,2.45%,35
Standard_D48_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,48,1,188.7,733540,43528,5.93%,35
Standard_D64_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,64,2,251.9,924146,9983,1.08%,35
Standard_D96_v5,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,96,2,377.9,1378842,14644,1.06%,35
Standard_D2as_v4,AMD EPYC 7452 32-Core Processor,2,1,8,38230,313,0.82%,77
Standard_D4as_v4,AMD EPYC 7452 32-Core Processor,4,1,16,71707,790,1.10%,98
Standard_D8as_v4,AMD EPYC 7452 32-Core Processor,8,1,32,151474,1599,1.06%,56
Standard_D16as_v4,AMD EPYC 7452 32-Core Processor,16,2,64,292074,9782,3.35%,91
Standard_D32as_v4,AMD EPYC 7452 32-Core Processor,32,4,128,575465,14574,2.53%,98
Standard_D48as_v4,AMD EPYC 7452 32-Core Processor,48,6,192,843316,21739,2.58%,105
Standard_D64as_v4,AMD EPYC 7452 32-Core Processor,64,8,256,1120467,30714,2.74%,7
Standard_D2a_v4,AMD EPYC 7452 32-Core Processor,2,1,8,38061,1219,3.20%,119
Standard_D4a_v4,AMD EPYC 7452 32-Core Processor,4,1,16,70996,2280,3.21%,140
Standard_D8a_v4,AMD EPYC 7452 32-Core Processor,8,1,32,151379,1946,1.29%,147
Standard_D16a_v4,AMD EPYC 7452 32-Core Processor,16,2,64,293654,6263,2.13%,161
Standard_D32a_v4,AMD EPYC 7452 32-Core Processor,32,4,128,571897,16009,2.80%,147
Standard_D48a_v4,AMD EPYC 7452 32-Core Processor,48,6,192,837332,22923,2.74%,161
Standard_D64a_v4,AMD EPYC 7452 32-Core Processor,64,8,256,1126793,29148,2.59%,21
Standard_D96a_v4,AMD EPYC 7452 32-Core Processor,96,12,384,1590434,31887,2.00%,14
Standard_D2ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,35557,740,2.08%,189
Standard_D4ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,65958,788,1.19%,189
Standard_D8ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,135907,1108,0.81%,189
Standard_D16ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,271137,1374,0.51%,189
Standard_D32ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,540212,4954,0.92%,189
Standard_D48ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,756538,15048,1.99%,154
Standard_D48ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,2,192,775291,11776,1.52%,35
Standard_D64ds_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,1025017,14482,1.41%,182
Standard_D2d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,35640,371,1.04%,189
Standard_D4d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,65767,590,0.90%,189
Standard_D8d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,135756,901,0.66%,189
Standard_D16d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,271216,1630,0.60%,189
Standard_D32d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,540052,4426,0.82%,189
Standard_D48d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,744246,20864,2.80%,147
Standard_D48d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,2,192,769702,10800,1.40%,42
Standard_D64d_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,1021118,15896,1.56%,189
Standard_D2s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,35794,578,1.61%,175
Standard_D4s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,65910,668,1.01%,182
Standard_D8s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,135542,835,0.62%,182
Standard_D16s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,271053,1429,0.53%,182
Standard_D32s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,539271,8236,1.53%,182
Standard_D48s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,743539,18204,2.45%,140
Standard_D48s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,2,192,772877,9466,1.22%,35
Standard_D64s_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,1024799,15499,1.51%,182
Standard_D2_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,35651,228,0.64%,182
Standard_D4_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,65896,647,0.98%,175
Standard_D8_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,135803,963,0.71%,182
Standard_D16_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,271203,1345,0.50%,182
Standard_D32_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,539406,5745,1.07%,182
Standard_D48_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,745137,17607,2.36%,154
Standard_D48_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,2,192,771269,7936,1.03%,28
Standard_D64_v4,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,1020266,19814,1.94%,182
Standard_D2s_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,8,26323,1194,4.54%,35
Standard_D2s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,8,27724,2091,7.54%,84
Standard_D2s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,8,26916,1424,5.29%,91
Standard_D2s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,31342,18,0.06%,21
Standard_D4s_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,4,1,16,50716,1058,2.09%,35
Standard_D4s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,4,1,16,52445,3515,6.70%,77
Standard_D4s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,4,1,16,50029,3332,6.66%,91
Standard_D4s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,16,57991,277,0.48%,35
Standard_D8s_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,8,1,32,99350,179,0.18%,7
Standard_D8s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,8,1,32,101053,7572,7.49%,126
Standard_D8s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,1,32,102485,3143,3.07%,56
Standard_D8s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,120003,546,0.46%,35
Standard_D16s_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,16,1,64,199434,1886,0.95%,35
Standard_D16s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,16,1,64,196242,5336,2.72%,77
Standard_D16s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,16,1,64,200086,3164,1.58%,98
Standard_D16s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,239837,1457,0.61%,28
Standard_D32s_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,32,2,128,389200,3438,0.88%,35
Standard_D32s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,32,1,128,390983,1845,0.47%,91
Standard_D32s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,32,1,128,397239,2996,0.75%,77
Standard_D32s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,478885,1968,0.41%,35
Standard_D48s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,48,2,192,571460,4725,0.83%,112
Standard_D48s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,48,1,192,581930,3357,0.58%,63
Standard_D48s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,48,2,192,578181,5736,0.99%,35
Standard_D48s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,698208,8889,1.27%,28
Standard_D64s_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,64,2,256,761965,4971,0.65%,49
Standard_D64s_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,64,2,256,767645,10497,1.37%,154
Standard_D64s_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,909271,7791,0.86%,28
Standard_D2_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,8,25478,977,3.84%,91
Standard_D2_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,8,26601,1381,5.19%,70
Standard_D2_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,8,27116,1688,6.23%,70
Standard_D2_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,8,31352,22,0.07%,7
Standard_D4_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,4,1,16,49708,2668,5.37%,77
Standard_D4_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,4,1,16,51650,3799,7.35%,91
Standard_D4_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,4,1,16,50025,2210,4.42%,70
Standard_D8_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,8,1,32,100422,1323,1.32%,98
Standard_D8_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,8,1,32,97861,5903,6.03%,91
Standard_D8_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,1,32,100826,1597,1.58%,42
Standard_D8_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,32,120063,559,0.47%,7
Standard_D16_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,16,1,64,198362,2228,1.12%,84
Standard_D16_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,16,1,64,193498,2080,1.07%,77
Standard_D16_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,16,1,64,199683,1862,0.93%,63
Standard_D16_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,64,239145,1767,0.74%,7
Standard_D32_v3,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,32,2,128,387724,3770,0.97%,63
Standard_D32_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,32,1,128,388466,9936,2.56%,112
Standard_D32_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,32,1,128,397605,2423,0.61%,49
Standard_D32_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,128,479158,1356,0.28%,14
Standard_D48_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,48,2,192,569331,6445,1.13%,140
Standard_D48_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,48,1,192,578441,6615,1.14%,70
Standard_D48_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,48,2,192,576459,7500,1.30%,21
Standard_D48_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,192,693147,8980,1.30%,7
Standard_D64_v3,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,64,2,256,762667,5489,0.72%,42
Standard_D64_v3,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,64,2,256,766739,7516,0.98%,189
Standard_D64_v3,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,256,916549,8944,0.98%,7
Standard_DS1_v2,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,3.5,18952,876,4.62%,49
Standard_DS1_v2,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,3.5,20066,937,4.67%,70
Standard_DS1_v2,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,3.5,19721,1686,8.55%,98
Standard_DS1_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,3.5,22210,25,0.11%,14
Standard_DS2_v2,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,7,37635,977,2.60%,70
Standard_DS2_v2,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,7,39784,2446,6.15%,84
Standard_DS2_v2,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,7,37761,1322,3.50%,70
Standard_DS2_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,7,44728,39,0.09%,7
Standard_DS3_v2,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,4,1,14,73128,1720,2.35%,70
Standard_DS3_v2,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,4,1,14,75583,4279,5.66%,70
Standard_DS3_v2,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,4,1,14,72459,1230,1.70%,91
Standard_DS4_v2,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,8,1,28,146804,1270,0.86%,49
Standard_DS4_v2,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,8,1,28,147510,3214,2.18%,98
Standard_DS4_v2,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,8,1,28,144002,1731,1.20%,70
